sample	scheme	scheme_version	subtype	all_subtypes	tiles_matching_subtype	are_subtypes_consistent	inconsistent_subtypes	n_tiles_matching_all	n_tiles_matching_all_expected	n_tiles_matching_positive	n_tiles_matching_positive_expected	n_tiles_matching_subtype	n_tiles_matching_subtype_expected	file_path	qc_status	qc_message
SAL_EA4968AA_AS	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	4157035-2.2.2.2.1.2; 484993-2.2.2.2.1.2; 2406889-2.2.2.2.1.2; 2455459-2.2.2.2.1.2	True		202	202	18	18	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4968AA_AS.scaffold.fasta	PASS	
SAL_CA5216AA_AS	heidelberg	0.5.0	1.1	1; 1.1	4579224-1.1; 4499501-1.1; 2904061-1.1; 2778621-1.1; 3867228-1.1; 202001-1.1; 600783-1.1; 4738855-1.1; 3278067-1.1; 1049933-1.1; 1193219-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5216AA_AS.scaffold.fasta	PASS	
SAL_IA6449AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	167020-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 198398-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA6449AA_AS.scaffold.fasta	PASS	
SAL_CA4601AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	3801966-2.1.1; 2283825-2.1.1; 3408895-2.1.1; 2422397-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4601AA_AS.scaffold.fasta	PASS	
SAL_IA2552AA_AS	heidelberg	0.5.0	2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.3	4086376-2.2.2.1.3	True		202	202	13	13	1	1	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA2552AA_AS.scaffold.fasta	PASS	
SAL_CA1183AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1183AA_AS.scaffold.fasta	PASS	
SAL_CA3167AA_AS	heidelberg	0.5.0	2.2.3.1	2; 2.2; 2.2.3; 2.2.3.1	2482056-2.2.3.1; 848800-2.2.3.1; 1091342-2.2.3.1	True		202	202	11	11	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA3167AA_AS.scaffold.fasta	PASS	
SAL_CA5895AA_AS	heidelberg	0.5.0	2.1.1.1.1	2; 2.1; 2.1.1; 2.1.1.1; 2.1.1.1.1	205838-2.1.1.1.1; 4542157-2.1.1.1.1; 3233869-2.1.1.1.1; 842143-2.1.1.1.1	True		202	202	22	22	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5895AA_AS.scaffold.fasta	PASS	
SAL_CA0941AA_AS	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	293728-2.2.1.1; 2802706-2.2.1.1; 691203-2.2.1.1; 3864871-2.2.1.1	True		202	202	14	14	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0941AA_AS.scaffold.fasta	PASS	
SAL_CA1283AA_AS	heidelberg	0.5.0	2.2.2.2.1.5	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.5	4081360-2.2.2.2.1.5; 2605132-2.2.2.2.1.5; 1697407-2.2.2.2.1.5	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1283AA_AS.scaffold.fasta	PASS	
SAL_EA9355AA_AS	heidelberg	0.5.0	2.2.2.2.5	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.5	4445342-2.2.2.2.5; 3580227-2.2.2.2.5; 3686624-2.2.2.2.5; 573259-2.2.2.2.5	True		202	202	16	16	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9355AA_AS.scaffold.fasta	PASS	
SAL_CA4999AA_AS	heidelberg	0.5.0	2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1	3811523-2.2.2.1.1; 1037736-2.2.2.1.1; 3691258-2.2.2.1.1	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4999AA_AS.scaffold.fasta	PASS	
SAL_EA4471AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	42232-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 3062689-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4471AA_AS.scaffold.fasta	PASS	
SAL_CA5005AA_AS	heidelberg	0.5.0	1.1	1; 1.1	3278067-1.1; 600783-1.1; 4579224-1.1; 4499501-1.1; 4738855-1.1; 3867228-1.1; 1049933-1.1; 1193219-1.1; 2778621-1.1; 2904061-1.1; 202001-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5005AA_AS.scaffold.fasta	PASS	
SAL_CA1086AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	1052031-2.2.2.2.1.3; 508759-2.2.2.2.1.3; 2934077-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1086AA_AS.scaffold.fasta	PASS	
SAL_EA9131AA_AS	heidelberg	0.5.0	2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1	1037736-2.2.2.1.1; 3691258-2.2.2.1.1; 3811523-2.2.2.1.1	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9131AA_AS.scaffold.fasta	PASS	
SAL_BA4270AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_BA4270AA_AS.scaffold.fasta	PASS	
SAL_CA2693AA_AS	heidelberg	0.5.0	2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2	3212817-2.2.2.2; 3324813-2.2.2.2; 775920-2.2.2.2	True		202	202	12	12	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2693AA_AS.scaffold.fasta	PASS	
SAL_IA3365AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	1052031-2.2.2.2.1.3; 508759-2.2.2.2.1.3; 2934077-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA3365AA_AS.scaffold.fasta	PASS	
SAL_CA1702AA_AS	heidelberg	0.5.0	2.2.3.2.1	2; 2.2; 2.2.3; 2.2.3.2; 2.2.3.2.1	227831-2.2.3.2.1; 3931056-2.2.3.2.1; 4299778-2.2.3.2.1; 489687-2.2.3.2.1; 3060368-2.2.3.2.1; 4079393-2.2.3.2.1; 4696391-2.2.3.2.1	True		202	202	22	22	7	7	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1702AA_AS.scaffold.fasta	PASS	
SAL_CA1640AA_AS	heidelberg	0.5.0	1.2	1; 1.2	4642573-1.2; 4166216-1.2; 2239956-1.2; 3082064-1.2; 3090898-1.2; 3113857-1.2	True		202	202	8	8	6	6	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1640AA_AS.scaffold.fasta	PASS	
SAL_CA2063AA_AS	heidelberg	0.5.0	1	1	2531225-1; 3677767-1	True		202	202	2	2	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA2063AA_AS.scaffold.fasta	PASS	
SAL_CA1455AA_AS	heidelberg	0.5.0	1.1	1; 1.1	1193219-1.1; 1049933-1.1; 3867228-1.1; 202001-1.1; 2778621-1.1; 4738855-1.1; 3278067-1.1; 2904061-1.1; 4579224-1.1; 4499501-1.1; 600783-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1455AA_AS.scaffold.fasta	PASS	
SAL_FA1859AA_AS	heidelberg	0.5.0	2.2.2.2.6	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.6	176708-2.2.2.2.6; 2741489-2.2.2.2.6; 1174327-2.2.2.2.6	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_FA1859AA_AS.scaffold.fasta	PASS	
SAL_CA5101AA_AS	heidelberg	0.5.0	2.2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.1	2606626-2.2.2.2.1.1; 1603329-2.2.2.2.1.1; 3373069-2.2.2.2.1.1	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5101AA_AS.scaffold.fasta	PASS	
SAL_CA5291AA_AS	heidelberg	0.5.0	1.1	1; 1.1	3867228-1.1; 1049933-1.1; 1193219-1.1; 2778621-1.1; 2904061-1.1; 3278067-1.1; 202001-1.1; 4738855-1.1; 4579224-1.1; 4499501-1.1; 600783-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5291AA_AS.scaffold.fasta	PASS	
SAL_EA9437AA_AS	heidelberg	0.5.0	2.1.1.3	2; 2.1; 2.1.1; 2.1.1.3	2878560-2.1.1.3; 3011381-2.1.1.3; 4120499-2.1.1.3; 3742501-2.1.1.3; 2213229-2.1.1.3	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9437AA_AS.scaffold.fasta	PASS	
SAL_CA5041AA_AS	heidelberg	0.5.0	2.2.2.2.5	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.5	4445342-2.2.2.2.5; 3580227-2.2.2.2.5; 3686624-2.2.2.2.5; 573259-2.2.2.2.5	True		202	202	16	16	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5041AA_AS.scaffold.fasta	PASS	
SAL_CA4996AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	2422397-2.1.1; 3801966-2.1.1; 2283825-2.1.1; 3408895-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4996AA_AS.scaffold.fasta	PASS	
SAL_CA5243AA_AS	heidelberg	0.5.0	1.1	1; 1.1	1049933-1.1; 1193219-1.1; 4579224-1.1; 4499501-1.1; 202001-1.1; 2904061-1.1; 3867228-1.1; 2778621-1.1; 3278067-1.1; 600783-1.1; 4738855-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5243AA_AS.scaffold.fasta	PASS	
SAL_EA5644AA_AS	heidelberg	0.5.0	2.2.2.2.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.3	2561007-2.2.2.2.3; 2693425-2.2.2.2.3; 4540735-2.2.2.2.3; 4525936-2.2.2.2.3; 3012157-2.2.2.2.3; 3819645-2.2.2.2.3; 2805778-2.2.2.2.3; 2778422-2.2.2.2.3	True		202	202	20	20	8	8	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5644AA_AS.scaffold.fasta	PASS	
SAL_EA4941AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	508759-2.2.2.2.1.3; 2934077-2.2.2.2.1.3; 1052031-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4941AA_AS.scaffold.fasta	PASS	
SAL_CA5128AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5128AA_AS.scaffold.fasta	PASS	
SAL_CA0983AA_AS	heidelberg	0.5.0	2.2.2.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1	1037736-2.2.2.1.1; 3691258-2.2.2.1.1; 3811523-2.2.2.1.1	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0983AA_AS.scaffold.fasta	PASS	
SAL_EA4569AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	198398-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 167020-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4569AA_AS.scaffold.fasta	PASS	
SAL_CA5146AA_AS	heidelberg	0.5.0	2.1	2; 2.1	2048364-2.1; 1976727-2.1; 3802645-2.1; 2785633-2.1; 3200083-2.1; 4145957-2.1; 862828-2.1; 1276017-2.1; 1313808-2.1	True		202	202	11	11	9	9	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5146AA_AS.scaffold.fasta	PASS	
SAL_BA8154AA_AS	heidelberg	0.5.0	1	1	3677767-1; 2531225-1	True		202	202	2	2	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_BA8154AA_AS.scaffold.fasta	PASS	
SAL_CA5233AA_AS	heidelberg	0.5.0	2.1.1	2; 2.1; 2.1.1	3408895-2.1.1; 2422397-2.1.1; 2283825-2.1.1; 3801966-2.1.1	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5233AA_AS.scaffold.fasta	PASS	
SAL_EA1763AA_AS	heidelberg	0.5.0	1	1	3677767-1; 2531225-1	True		166	202	2	2	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA1763AA_AS.scaffold.fasta	FAIL	FAIL: Missing Tiles Error 1: 17.82% missing tiles for subtype 1; more than 5.00% missing tile threshold
SAL_CA4956AA_AS	heidelberg	0.5.0	2.2.3.1	2; 2.2; 2.2.3; 2.2.3.1	848800-2.2.3.1; 2482056-2.2.3.1; 1091342-2.2.3.1	True		201	202	10	11	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4956AA_AS.scaffold.fasta	PASS	
SAL_CA5232AA_AS	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	293728-2.2.1.1; 3864871-2.2.1.1; 2802706-2.2.1.1; 691203-2.2.1.1	True		202	202	14	14	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5232AA_AS.scaffold.fasta	PASS	
SAL_CA3225AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	4211912-2.2.1.1.1.1; 1983064-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA3225AA_AS.scaffold.fasta	PASS	
SAL_CA1445AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	4211912-2.2.1.1.1.1; 1983064-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1445AA_AS.scaffold.fasta	PASS	
SAL_CA4663AA_AS	heidelberg	0.5.0	1.1	1; 1.1	1049933-1.1; 1193219-1.1; 3278067-1.1; 600783-1.1; 3867228-1.1; 202001-1.1; 4738855-1.1; 4579224-1.1; 4499501-1.1; 2904061-1.1; 2778621-1.1	True		202	202	13	13	11	11	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4663AA_AS.scaffold.fasta	PASS	
SAL_CA5543AA_AS	heidelberg	0.5.0	2.2.2.1	2; 2.2; 2.2.2; 2.2.2.1	1036874-2.2.2.1; 1061770-2.2.2.1; 649988-2.2.2.1	True		202	202	12	12	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5543AA_AS.scaffold.fasta	PASS	
SAL_EA5851AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	2801759-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 42232-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5851AA_AS.scaffold.fasta	PASS	
SAL_EA5210AA_AS	heidelberg	0.5.0	2.2.2.2.2.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.1	3267927-2.2.2.2.2.1; 239152-2.2.2.2.2.1; 3647258-2.2.2.2.2.1; 3586333-2.2.2.2.2.1	True		202	202	19	19	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5210AA_AS.scaffold.fasta	PASS	
SAL_FA1513AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	1950957-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 42232-2.2.2.2.2.2; 2801759-2.2.2.2.2.2; 3540924-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_FA1513AA_AS.scaffold.fasta	PASS	
SAL_CA0422AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	4282538-2.1.3; 2045923-2.1.3; 64709-2.1.3; 2963935-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0422AA_AS.scaffold.fasta	PASS	
SAL_EA1806AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	42232-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 2801759-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA1806AA_AS.scaffold.fasta	PASS	
SAL_CA0887AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	2963935-2.1.3; 2045923-2.1.3; 64709-2.1.3; 4282538-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA0887AA_AS.scaffold.fasta	PASS	
SAL_CA1974AA_AS	heidelberg	0.5.0	2.2.2.2.6	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.6	176708-2.2.2.2.6; 1174327-2.2.2.2.6; 2741489-2.2.2.2.6	True		202	202	15	15	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA1974AA_AS.scaffold.fasta	PASS	
SAL_EA5476AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 198398-2.2.2.1.1.1; 908618-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5476AA_AS.scaffold.fasta	PASS	
SAL_EA5736AA_AS	heidelberg	0.5.0	2.2.2.2.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.3	2805778-2.2.2.2.3; 4525936-2.2.2.2.3; 4540735-2.2.2.2.3; 3012157-2.2.2.2.3; 2561007-2.2.2.2.3; 3819645-2.2.2.2.3; 2778422-2.2.2.2.3; 2693425-2.2.2.2.3	True		202	202	20	20	8	8	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5736AA_AS.scaffold.fasta	PASS	
SAL_EA5600AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	4211912-2.2.1.1.1.1; 1983064-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5600AA_AS.scaffold.fasta	PASS	
SAL_CA4984AA_AS	heidelberg	0.5.0	2.1.1.1	2; 2.1; 2.1.1; 2.1.1.1	1856421-2.1.1.1; 1534092-2.1.1.1; 3305400-2.1.1.1	True		202	202	18	18	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4984AA_AS.scaffold.fasta	PASS	
SAL_FA1512AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	1950957-2.2.2.2.2.2; 42232-2.2.2.2.2.2; 3062689-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 2801759-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_FA1512AA_AS.scaffold.fasta	PASS	
SAL_CA4995AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	4282538-2.1.3; 2045923-2.1.3; 2963935-2.1.3; 64709-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4995AA_AS.scaffold.fasta	PASS	
SAL_EA1840AA_AS	heidelberg	0.5.0	2.2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.3	508759-2.2.2.2.1.3; 1052031-2.2.2.2.1.3; 2934077-2.2.2.2.1.3	True		202	202	17	17	3	3	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA1840AA_AS.scaffold.fasta	PASS	
SAL_JA0849AA_AS	heidelberg	0.5.0	2.2.1.1.1.1	2; 2.2; 2.2.1; 2.2.1.1; 2.2.1.1.1; 2.2.1.1.1.1	1983064-2.2.1.1.1.1; 4211912-2.2.1.1.1.1	True		202	202	20	20	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_JA0849AA_AS.scaffold.fasta	PASS	
SAL_IA6451AA_AS	heidelberg	0.5.0	2.1.2	2; 2.1; 2.1.2	4215208-2.1.2; 4101230-2.1.2; 4035893-2.1.2; 1062011-2.1.2; 4327318-2.1.2; 4136928-2.1.2; 600350-2.1.2	True		202	202	18	18	7	7	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA6451AA_AS.scaffold.fasta	PASS	
SAL_EA8849AA_AS	heidelberg	0.5.0	2.2.2.1.3	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.3	4086376-2.2.2.1.3	True		202	202	13	13	1	1	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8849AA_AS.scaffold.fasta	PASS	
SAL_IA1866AA_AS	heidelberg	0.5.0	2.2.2.2.2.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.2; 2.2.2.2.2.2	2801759-2.2.2.2.2.2; 1950957-2.2.2.2.2.2; 42232-2.2.2.2.2.2; 3540924-2.2.2.2.2.2; 3062689-2.2.2.2.2.2	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_IA1866AA_AS.scaffold.fasta	PASS	
SAL_CA4671AA_AS	heidelberg	0.5.0	2.1.3	2; 2.1; 2.1.3	2045923-2.1.3; 2963935-2.1.3; 4282538-2.1.3; 64709-2.1.3	True		202	202	15	15	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA4671AA_AS.scaffold.fasta	PASS	
SAL_EA8961AA_AS	heidelberg	0.5.0	2.2.2.2.4	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.4	1649579-2.2.2.2.4; 1689446-2.2.2.2.4; 1288160-2.2.2.2.4; 3523461-2.2.2.2.4	True		202	202	16	16	4	4	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA8961AA_AS.scaffold.fasta	PASS	
SAL_EA9555AA_AS	heidelberg	0.5.0	2.1.1.3	2; 2.1; 2.1.1; 2.1.1.3	4120499-2.1.1.3; 2213229-2.1.1.3; 3742501-2.1.1.3; 3011381-2.1.1.3; 2878560-2.1.1.3	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA9555AA_AS.scaffold.fasta	PASS	
SAL_CA5524AA_AS	heidelberg	0.5.0	2.2.2.2.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1	2217680-2.2.2.2.1; 3827083-2.2.2.2.1	True		202	202	14	14	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_CA5524AA_AS.scaffold.fasta	PASS	
SAL_EA4394AA_AS	heidelberg	0.5.0	2.2.2.2.1	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1	3827083-2.2.2.2.1; 2217680-2.2.2.2.1	True		202	202	14	14	2	2	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4394AA_AS.scaffold.fasta	PASS	
SAL_EA4492AA_AS	heidelberg	0.5.0	2.2.2.2.3	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.3	2778422-2.2.2.2.3; 2805778-2.2.2.2.3; 3012157-2.2.2.2.3; 2561007-2.2.2.2.3; 2693425-2.2.2.2.3; 4525936-2.2.2.2.3; 4540735-2.2.2.2.3; 3819645-2.2.2.2.3	True		202	202	20	20	8	8	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA4492AA_AS.scaffold.fasta	PASS	
SAL_EA5130AA_AS	heidelberg	0.5.0	2.2.2.1.1.1	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.1; 2.2.2.1.1.1	198398-2.2.2.1.1.1; 908618-2.2.2.1.1.1; 167020-2.2.2.1.1.1; 3230678-2.2.2.1.1.1; 3264474-2.2.2.1.1.1	True		202	202	20	20	5	5	/home/CSCScience.ca/pkruczkiewicz/Downloads/SH/SAL_EA5130AA_AS.scaffold.fasta	PASS	
