Assembly Barcode	Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_SA8801AA_AS	SAL_JA4934AA	PNUSAS013633	SRR5576603;ILLUMINA;Paired;;SRX2834821;523834192;238	SAL_JA4934AA	Wild animal	ND	Caprine lung	2017				North America	United States	Wisconsin						Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06958574	SRS2209160	2017-05-19	2017-05-19	Assembled	105	369439	4961127	Salmonella enterica;90.69%	65	3461	3.61	SAL_SA8801AA_AS
SAL_XA1587AA_AS	SAL_MA7023AA	PNUSAS026243	SRR6310625;ILLUMINA;Paired;;SRX3410903;500290934;143	SAL_MA7023AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN07981570	SRS2704130	2017-11-21	2017-11-20	Assembled	105	192915	4761424	Salmonella enterica;100.0%	73	2582	3.61	SAL_XA1587AA_AS
SAL_XA7276AA_AS	SAL_NA0425AA	FSIS11706183	SRR6356464;ILLUMINA;Paired;300;SRX3453043;497929392;149	SAL_NA0425AA	Poultry	Avian	comminuted chicken	2017				North America	United States	Arkansas						Heidelberg	I				United States Department of Agriculture, Food Safety and Inspection Service		PRJNA242847	SRP040648	SAMN08141484	SRS2741795	2017-12-07	2017-12-07	Assembled	105	723536	4738326	Salmonella enterica;94.11%	46	1997	3.61	SAL_XA7276AA_AS
SAL_YA1294AA_AS	SAL_NA4187AA	PNUSAS031065	SRR6440105;ILLUMINA;Paired;;SRX3531474;499671038;227	SAL_NA4187AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08285078	SRS2806945	2018-01-05	2018-01-04	Assembled	105	694941	4722549	Salmonella enterica;100.0%	39	1822	3.61	SAL_YA1294AA_AS
SAL_ZA8695AA_AS	SAL_OA4300AA	S17-15359	SRR6893088;ILLUMINA;Paired;;SRX3843292;;	SAL_OA4300AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793532	SRS3088979	2018-03-27	2018-03-24	Assembled	105	199451	4971413	Salmonella enterica;75.31%	134	42412	4	SAL_ZA8695AA_AS
SAL_ZA5468AA_AS	SAL_OA5583AA	PNUSAS035606	SRR6879238;ILLUMINA;Paired;;SRX3831954;;	SAL_OA5583AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08772834	SRS3079729	2018-03-27	2018-03-22	Assembled	105	243935	4743776	Salmonella enterica;97.88%	57	39855	4	SAL_ZA5468AA_AS
SAL_AB3007AA_AS	SAL_PA1793AA	FSIS11809085	SRR7001987;ILLUMINA;Paired;300;SRX3934696;;	SAL_PA1793AA	Poultry	Avian	Comminuted Turkey	2018				North America	United States	Missouri						Heidelberg	I				United States Department of Agriculture, Food Safety and Inspection Service		PRJNA242847	SRP040648	SAMN08930749	SRS3167090	2018-04-16	2018-04-13	Assembled	105	231068	4902010	Salmonella enterica;95.07%	74	53670	4	SAL_AB3007AA_AS
SAL_AB6060AA_AS	SAL_PA4676AA	PNUSAS038618	SRR7105183;ILLUMINA;Paired;;SRX4033523;;	SAL_PA4676AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN09045388	SRS3253084	2018-05-03	2018-05-03	Assembled	105	412181	4823640	Salmonella enterica;100.0%	44	24649	4	SAL_AB6060AA_AS
SAL_KA1702AA_AS	SAL_EA8178AA	CVM-N23782	SRR3052017;ILLUMINA;Paired;500;SRX1500360;527943432;204	SAL_EA8178AA	Poultry	Avian	Ground Turkey	2010				North America	United States	New Mexico						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183848	SRP028812	SAMN04256053	SRS1221864	2016-01-02	2015-01-01	Assembled	104	239623	5039970	Salmonella enterica;84.29%	87	6815	3.32	SAL_KA1702AA_AS
SAL_KA2588AA_AS	SAL_EA9008AA	NY-N20011	SRR3111272;ILLUMINA;Paired;500;SRX1539570;505480236;237	SAL_EA9008AA	Poultry	Avian	Chicken Breast	2009				North America	United States	Colorado						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN04224337	SRS1256053	2016-01-22	2015-01-01	Assembled	104	257109	4857635	Salmonella enterica;97.73%	52	4176	3.32	SAL_KA2588AA_AS
SAL_KA4861AA_AS	SAL_FA1130AA	CVM-N26096	SRR3185036;ILLUMINA;Paired;500;SRX1598297;499032410;233	SAL_FA1130AA	Poultry	Avian	Chicken Breast	2010				North America	United States	Oregon					-111.6	Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA284276	SRP059203	SAMN04255164	SRS1308283	2016-02-24	2015-01-01	Assembled	104	84308	4782859	Salmonella enterica;100.0%	106	13401	3.32	SAL_KA4861AA_AS
SAL_LA9669AA_AS	SAL_FA9658AA	ADRDL-NS 016	SRR3057213;ILLUMINA;Paired;500;SRX1503067;505338520;230	SAL_FA9658AA	Poultry	Avian	Meleagris; turkey feces	2015				North America	United States	Minnesota						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA280335	SRP059853	SAMN04240624	SRS1224124	2016-06-30	2015-01-01	Assembled	104	291737	4822593	Salmonella enterica;96.35%	63	3783	3.41	SAL_LA9669AA_AS
SAL_LA9630AA_AS	SAL_FA9697AA	ADRDL-NS032	SRR3057174;ILLUMINA;Paired;500;SRX1503028;509833408;224	SAL_FA9697AA	Poultry	Avian	Meleagris; turkey feces	2015				North America	United States	Minnesota						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA280335	SRP059853	SAMN04240641	SRS1224081	2016-06-30	2015-01-01	Assembled	104	144632	4855627	Salmonella enterica;86.14%	123	7323	3.41	SAL_LA9630AA_AS
SAL_OA1125AA_AS	SAL_HA4959AA	10-2267	SRR5052796;ILLUMINA;Paired;;SRX2374073;504070182;297	SAL_HA4959AA	Human	Human	Homo sapiens					North America	Canada							Heidelberg	I				National Microbiology Laboratory		PRJNA353625	SRP093623	SAMN06030024	SRS1817976	2016-11-25	2016-11-23	Assembled	104	182550	4824922	Salmonella enterica;94.54%	73	17663	3.51	SAL_OA1125AA_AS
SAL_QA2731AA_AS	SAL_IA2535AA	PNUSAS007182	SRR5217774;ILLUMINA;Paired;;SRX2527921;529909392;228	SAL_IA2535AA	ND	ND						North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06274060	SRS1948769	2017-01-30	2017-01-30	Assembled	104	410707	5053175	Salmonella enterica;71.43%	84	5315	3.61	SAL_QA2731AA_AS
SAL_QA5424AA_AS	SAL_IA6346AA	12-5632	SRR5236404;ILLUMINA;Paired;;SRX2543467;499048500;250	SAL_IA6346AA	Human	Human	Human stool	2012	8			North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06278968	SRS1962600	2017-02-14	2017-02-06	Assembled	104	694160	4761730	Salmonella enterica;100.0%	43	4090	3.61	SAL_QA5424AA_AS
SAL_RA9956AA_AS	SAL_JA1638AA	PNUSAS011321	SRR5434477;ILLUMINA;Paired;;SRX2724500;493765380;230	SAL_JA1638AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN06692323	SRS2113209	2017-04-11	2017-04-11	Assembled	104	334844	4721819	Salmonella enterica;100.0%	46	2074	3.61	SAL_RA9956AA_AS
SAL_TA9246AA_AS	SAL_KA3215AA	PNUSAS017341	SRR5822030;ILLUMINA;Paired;;SRX2999880;496021036;238	SAL_KA3215AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07342355	SRS2350725	2017-07-13	2017-07-13	Assembled	104	723536	4737204	Salmonella enterica;97.06%	43	2150	3.61	SAL_TA9246AA_AS
SAL_WA2105AA_AS	SAL_MA0452AA	PNUSAS025161	SRR6158684;ILLUMINA;Paired;;SRX3270321;495561176;233	SAL_MA0452AA								North America	United States												Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07757032	SRS2582028	2017-10-12	2017-10-11	Assembled	104	412096	4722232	Salmonella enterica;100.0%	36	1798	3.61	SAL_WA2105AA_AS
SAL_XA7140AA_AS	SAL_NA0561AA	FSIS11706058	SRR6354065;ILLUMINA;Paired;300;SRX3450730;498504000;150	SAL_NA0561AA	Poultry	Avian	raw intact chicken	2017				North America	United States	California						Heidelberg	I				United States Department of Agriculture, Food Safety and Inspection Service		PRJNA242847	SRP040648	SAMN08138553	SRS2739653	2017-12-07	2017-12-06	Assembled	104	270174	4759329	Salmonella enterica;100.0%	48	2710	3.61	SAL_XA7140AA_AS
SAL_ZA8679AA_AS	SAL_OA4316AA	S17-15503	SRR6893104;ILLUMINA;Paired;;SRX3843276;;	SAL_OA4316AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793552	SRS3088963	2018-03-27	2018-03-24	Assembled	104	214261	4951847	Salmonella enterica;70.41%	113	24761	4	SAL_ZA8679AA_AS
SAL_ZA8674AA_AS	SAL_OA4321AA	S17-15490	SRR6893109;ILLUMINA;Paired;;SRX3843271;;	SAL_OA4321AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793548	SRS3088960	2018-03-27	2018-03-24	Assembled	104	106621	4970765	Salmonella enterica;79.43%	174	60773	4	SAL_ZA8674AA_AS
SAL_KA0192AA_AS	SAL_EA6674AA	SH12-005	SRR3028740;ILLUMINA;Paired;;SRX1489225;494431236;211	SAL_EA6674AA	Human	Human	Homo sapiens; Human	2012	5			North America	Canada	Quebec						Heidelberg	I			19	McGill University		PRJNA305824	SRP067504	SAMN04334631	SRS1211426	2015-12-22	2015-12-19	Assembled	103	694160	4776130	Salmonella enterica;100.0%	43	1490	3.32	SAL_KA0192AA_AS
SAL_KA8823AA_AS	SAL_FA4823AA	CVM-N19787	SRR3330221;ILLUMINA;Paired;500;SRX1677278;492758810;235	SAL_FA4823AA	Poultry	Avian	Chicken Breast	2008				North America	United States	Georgia						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183847	SRP028894	SAMN04218222	SRS1372923	2016-04-05	2015-01-01	Assembled	103	327667	4776778	Salmonella enterica;97.62%	59	3413	3.41	SAL_KA8823AA_AS
SAL_MA1793AA_AS	SAL_FA8785AA	CVM N29368	SRR3665028;ILLUMINA;Paired;;SRX1843536;511216176;257	SAL_FA8785AA	Poultry	Avian	Ground Turkey	2011				North America	United States	New Mexico						Heidelberg					Food and Drug Administration (US)		PRJNA292661	SRP063697	SAMN05201533	SRS1502432	2016-06-30	2016-06-21	Assembled	103	291737	4918962	Salmonella enterica;96.55%	113	6144	3.41	SAL_MA1793AA_AS
SAL_MA8625AA_AS	SAL_GA9778AA	PNUSAS004062	SRR4292038;ILLUMINA;Paired;;SRX2187532;492910440;242	SAL_GA9778AA	ND	ND						North America	United States	Wyoming						Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN05788726	SRS1710367	2016-09-24	2016-09-22	Assembled	103	670901	4771134	Salmonella enterica;100.0%	49	5533	3.51	SAL_MA8625AA_AS
SAL_NA3285AA_AS	SAL_GA9793AA	PNUSAS004149	SRR4292020;ILLUMINA;Paired;;SRX2187514;491766170;235	SAL_GA9793AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN05783845	SRS1710352	2016-09-24	2016-09-22	Assembled	103	694173	4761815	Salmonella enterica;100.0%	40	2016	3.51	SAL_NA3285AA_AS
SAL_MA9866AA_AS	SAL_HA0081AA	PNUSAS004023	SRR4297054;ILLUMINA;Paired;;SRX2191824;492342224;242	SAL_HA0081AA	ND	ND	Stool; Age: 0-4	2016	8			North America	United States							Heidelberg					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN05773455	SRS1714330	2016-09-28	2016-09-27	Assembled	103	694177	4775563	Salmonella enterica;97.61%	57	3681	3.51	SAL_MA9866AA_AS
SAL_QA4566AA_AS	SAL_IA5132AA	NC-I0309	SRR5230432;ILLUMINA;Paired;500;SRX2538952;514099960;242,SRR5230454;ILLUMINA;Paired;500;SRX2538974;507850272;246	SAL_IA5132AA	Environment	ND	Fly trap	2015	7			North America	United States	Tennessee						Schwarzengrund					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA293224	SRP070120	SAMN06220170	SRS1958683	2017-02-06	2015-01-01	Assembled	103	140479	4913726	Salmonella enterica;100.0%	116	15553	3.61	SAL_QA4566AA_AS
SAL_QA6283AA_AS	SAL_IA5986AA	N13-01304	SRR5239205;ILLUMINA;Paired;;SRX2546099;504773260;298	SAL_IA5986AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06279038	SRS1964958	2017-02-14	2017-02-07	Assembled	103	381667	4857351	Salmonella enterica;94.6%	50	4679	3.61	SAL_QA6283AA_AS
SAL_QA6382AA_AS	SAL_IA6406AA	FSIS1710509	SRR5260127;ILLUMINA;Paired;500;SRX2564825;487367820;246	SAL_IA6406AA	Poultry	Avian	Raw Intact Chicken	2017				North America	United States	Texas						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN06339202	SRS1981478	2017-02-16	2017-02-15	Assembled	103	689399	4721067	Salmonella enterica;100.0%	38	4265	3.61	SAL_QA6382AA_AS
SAL_UA2805AA_AS	SAL_KA6077AA	PNUSAS018732	SRR5875963;ILLUMINA;Paired;;SRX3043479;514862278;241	SAL_KA6077AA	Wild animal	ND	Bovine Stool	2017				North America	United States	Wisconsin						Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07376338	SRS2391251	2017-07-28	2017-07-27	Assembled	103	384417	4966172	Salmonella enterica;84.01%	79	4886	3.61	SAL_UA2805AA_AS
SAL_UA5790AA_AS	SAL_KA8340AA	FSIS1703507	SRR5930162;ILLUMINA;Paired;300;SRX3090446;506065686;149	SAL_KA8340AA	Poultry	Avian	raw intact chicken	2017				North America	United States	Alabama						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN07501474	SRS2428138	2017-08-13	2017-08-11	Assembled	103	363185	4868591	Salmonella enterica;97.22%	41	2755	3.61	SAL_UA5790AA_AS
SAL_WA2661AA_AS	SAL_MA1001AA	PNUSAS025330	SRR6165573;ILLUMINA;Paired;;SRX3276511;492035788;178	SAL_MA1001AA								North America	United States												Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07763709	SRS2587780	2017-10-13	2017-10-12	Assembled	103	412096	4775394	Salmonella enterica;100.0%	47	1208	3.61	SAL_WA2661AA_AS
SAL_WA9882AA_AS	SAL_MA5739AA	CFSAN071199	SRR6286463;ILLUMINA;Paired;500;SRX3387845;497292908;238	SAL_MA5739AA	Poultry	Avian	Ground Component Chicken	2015				North America	United States	California											Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN08017307	SRS2683188	2017-11-14	2017-11-13	Assembled	103	297645	4791038	Salmonella enterica;100.0%	50	5318	3.61	SAL_WA9882AA_AS
SAL_XA2211AA_AS	SAL_MA7701AA	PNUSAS028086	SRR6317401;ILLUMINA;Paired;;SRX3417270;507910888;244	SAL_MA7701AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08045295	SRS2710010	2017-11-23	2017-11-22	Assembled	103	728310	4887402	Salmonella enterica;97.3%	59	5759	3.61	SAL_XA2211AA_AS
SAL_YA0228AA_AS	SAL_NA3323AA	FSIS21720837	SRR6419002;ILLUMINA;Paired;300;SRX3512015;489620854;149	SAL_NA3323AA	Poultry	Avian	raw intact chicken	2017				North America	United States	Arkansas						Heidelberg	I				United States Department of Agriculture, Food Safety and Inspection Service		PRJNA242847	SRP040648	SAMN08239875	SRS2789216	2017-12-28	2017-12-26	Assembled	103	231407	4740271	Salmonella enterica;100.0%	56	4136	3.61	SAL_YA0228AA_AS
SAL_YA7154AA_AS	SAL_NA8465AA	PNUSAS032651	SRR6663476;ILLUMINA;Paired;;SRX3640345;;	SAL_NA8465AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08428565	SRS2906545	2018-02-06	2018-02-01	Assembled	103	138750	4850181	Salmonella enterica;100.0%	75	14131	3.61	SAL_YA7154AA_AS
SAL_YA9620AA_AS	SAL_OA0734AA	UGBUC1112	ERR2204181;ILLUMINA;Paired;250;ERX2258555;;	SAL_OA0734AA	Poultry	Invertebrates	Broiler meat	2011				South America	Colombia								I				UTRECHT UNIVERSITY		PRJEB23610	ERP105372	SAMEA104399982	ERS2017924	2018-02-17	2018-02-16	Assembled	103	237324	5067498	Salmonella enterica;81.95%	92	2009	3.61	SAL_YA9620AA_AS
SAL_ZA8683AA_AS	SAL_OA4312AA	S17-15103	SRR6893100;ILLUMINA;Paired;;SRX3843280;;	SAL_OA4312AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793522	SRS3088967	2018-03-27	2018-03-24	Assembled	103	258764	5093788	Salmonella enterica;88.5%	82	22743	4	SAL_ZA8683AA_AS
SAL_BB1255AA_AS	SAL_PA9728AA	PNUSAS041564	SRR7236097;ILLUMINA;Paired;;SRX4142402;;	SAL_PA9728AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN09283997	SRS3356206	2018-05-31	2018-05-30	Assembled	103	140861	5144994	Salmonella enterica;78.03%	110	40619	4	SAL_BB1255AA_AS
SAL_JA9181AA_AS	SAL_EA5623AA	2015K-0601	SRR2969500;ILLUMINA;Paired;;SRX1458740;483472100;190	SAL_EA5623AA	Human	Human	Age: 10-19; Stool	2015	6			North America	United States							Heidelberg					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN04308845	SRS1186188	2015-12-02	2015-12-02	Assembled	102	240059	4731641	Salmonella enterica;98.34%	72	2739	3.32	SAL_JA9181AA_AS
SAL_JA9857AA_AS	SAL_EA6298AA	PNUSAS001275	SRR3001796;ILLUMINA;Paired;;SRX1482929;484446610;233	SAL_EA6298AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN04321301	SRS1207303	2015-12-16	2015-12-15	Assembled	102	84073	4707218	Salmonella enterica;100.0%	127	13727	3.32	SAL_JA9857AA_AS
SAL_KA0171AA_AS	SAL_EA6653AA	SH14-008	SRR3028761;ILLUMINA;Paired;;SRX1489246;490829108;253	SAL_EA6653AA	Human	Human	Homo sapiens; Human	2014	8			North America	Canada	Quebec						Heidelberg	I			19	McGill University		PRJNA305824	SRP067504	SAMN04334652	SRS1211405	2015-12-22	2015-12-19	Assembled	102	642098	4779400	Salmonella enterica;97.62%	52	2182	3.32	SAL_KA0171AA_AS
SAL_KA6319AA_AS	SAL_FA2232AA	CVM-N19754	SRR3242334;ILLUMINA;Paired;500;SRX1643714;496573220;230	SAL_FA2232AA	Poultry	Avian	Ground Turkey	2008				North America	United States	Colorado						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183847	SRP028894	SAMN04218190	SRS1349696	2016-03-19	2015-01-01	Assembled	102	694171	4828794	Salmonella enterica;100.0%	68	4549	3.32	SAL_KA6319AA_AS
SAL_LA6346AA_AS	SAL_GA3124AA	NCTR-SF819	SRR1122496;ILLUMINA;Paired;250;SRX436235;503708240;98	SAL_GA3124AA	Poultry	Avian	Meleagris gallopavo; Ground Meat	2002				North America	United States	Maryland						Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368383	SRS536061	2016-07-01	2015-07-22	Assembled	102	172037	4918075	Salmonella enterica;95.29%	93	1461	3.41	SAL_LA6346AA_AS
SAL_LA6073AA_AS	SAL_GA3395AA	BCW_2251	SRR1106580;ILLUMINA;Paired;250;SRX425348;509599134;99	SAL_GA3395AA	Human	Human	Clinical outbreak	2011				North America	United States							Heidelberg	I				University College Dublin - 100K Genome Project		PRJNA203445	SRP022914	SAMN02368050	SRS529003	2016-07-01	2015-07-22	Assembled	102	247165	4980084	Salmonella enterica;95.45%	58	1868	3.41	SAL_LA6073AA_AS
SAL_QA5823AA_AS	SAL_IA5797AA	N13-01326	SRR5241848;ILLUMINA;Paired;;SRX2548696;499969860;299	SAL_IA5797AA	Poultry	Avian	Food aliquot (turkey)	2012				North America	Canada	Quebec						Heidelberg	I				National Microbiology Laboratory		PRJNA369657	SRP099025	SAMN06279010	SRS1967264	2017-02-14	2017-02-08	Assembled	102	694169	4859872	Salmonella enterica;88.24%	48	3024	3.61	SAL_QA5823AA_AS
SAL_UA1894AA_AS	SAL_KA5007AA	2015AM-0914	SRR5861709;ILLUMINA;Paired;;SRX3030412;482950542;237	SAL_KA5007AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07409740	SRS2379301	2017-07-24	2017-07-24	Assembled	102	736029	4724761	Salmonella enterica;100.0%	40	2514	3.61	SAL_UA1894AA_AS
SAL_UA2486AA_AS	SAL_KA5139AA	FSIS1702982	SRR5865388;ILLUMINA;Paired;300;SRX3033438;489486000;150	SAL_KA5139AA	Poultry	Avian	raw intact chicken	2017				North America	United States	Texas						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN07411252	SRS2382233	2017-07-25	2017-07-25	Assembled	102	412096	4760322	Salmonella enterica;100.0%	39	2689	3.61	SAL_UA2486AA_AS
SAL_UA5146AA_AS	SAL_KA7880AA	PNUSAS019866	SRR5921345;ILLUMINA;Paired;;SRX3082171;490028932;211	SAL_KA7880AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN07456565	SRS2420799	2017-08-10	2017-08-09	Assembled	102	694166	4760334	Salmonella enterica;100.0%	42	894	3.61	SAL_UA5146AA_AS
SAL_YA0863AA_AS	SAL_NA3619AA	PNUSAS030628	SRR6434214;ILLUMINA;Paired;;SRX3525798;481706148;231	SAL_NA3619AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08235497	SRS2801648	2018-01-03	2018-01-02	Assembled	102	694160	4722385	Salmonella enterica;100.0%	41	1570	3.61	SAL_YA0863AA_AS
SAL_YA2153AA_AS	SAL_NA4485AA	ARIMSH522-16	SRR6451869;ILLUMINA;Paired;500;SRX3542763;501802080;208	SAL_NA4485AA	Poultry	Avian	biological fluid or/and tissue (Gallus gallus domesticus)	2016				South America	Argentina							Heidelberg	I				FDA Center for Food Safety and Applied Nutrition		PRJNA277984	SRP071258	SAMN08326891	SRS2816118	2018-01-09	2018-01-09	Assembled	102	214334	4881269	Salmonella enterica;98.31%	67	4040	3.61	SAL_YA2153AA_AS
SAL_YA7172AA_AS	SAL_NA8447AA	PNUSAS024828	SRR6663495;ILLUMINA;Paired;;SRX3640364;;	SAL_NA8447AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08432482	SRS2906564	2018-02-06	2018-02-01	Assembled	102	694160	4722779	Salmonella enterica;100.0%	42	2208	3.61	SAL_YA7172AA_AS
SAL_ZA8698AA_AS	SAL_OA4297AA	S17-15183	SRR6893085;ILLUMINA;Paired;;SRX3843295;;	SAL_OA4297AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793525	SRS3088995	2018-03-27	2018-03-24	Assembled	102	211177	4974653	Salmonella enterica;76.8%	101	36494	4	SAL_ZA8698AA_AS
SAL_ZA8681AA_AS	SAL_OA4314AA	S17-15085	SRR6893102;ILLUMINA;Paired;;SRX3843278;;	SAL_OA4314AA				2017												Heidelberg	I				USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL		PRJNA434427	SRP136393	SAMN08793520	SRS3088965	2018-03-27	2018-03-24	Assembled	102	330151	5092395	Salmonella enterica;88.5%	81	27928	4	SAL_ZA8681AA_AS
SAL_ZA7969AA_AS	SAL_OA5026AA	PNUSAS035819	SRR6880697;ILLUMINA;Paired;;SRX3833197;;	SAL_OA5026AA	Poultry	Avian	chicken	2017	12			North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN08774223	SRS3080873	2018-03-27	2018-03-22	Assembled	102	231113	4758741	Salmonella enterica;97.77%	60	73057	4	SAL_ZA7969AA_AS
SAL_BB8875AA_AS	SAL_QA7030AA	PNUSAS043531	SRR7414646;ILLUMINA;Paired;;SRX4285603;;	SAL_QA7030AA								North America	United States												Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch		PRJNA230403	SRP040281	SAMN09474748	SRS3449750	2018-06-23	2018-06-22	Assembled	102	732056	4759736	Salmonella enterica;100.0%	45	30222	4	SAL_BB8875AA_AS
SAL_KA4874AA_AS	SAL_FA1117AA	CVM-N26465	SRR3185052;ILLUMINA;Paired;500;SRX1598313;516870944;232	SAL_FA1117AA	Poultry	Avian	Ground Turkey	2010				North America	United States	Minnesota						Heidelberg					Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA284276	SRP059203	SAMN04255182	SRS1308300	2016-02-24	2015-01-01	Assembled	101	52787	5073568	Salmonella enterica;89.57%	192	24684	3.32	SAL_KA4874AA_AS
SAL_KA9497AA_AS	SAL_FA5364AA	021V8	traces-0yjMwuW;ILLUMINA;Paired;;NA;483779268;238	SAL_FA5364AA	Human							Africa	Malawi							Heidelberg (Predicted)					Jay Hinton						2016-04-18	2016-10-17	Assembled	101	730956	4784390	Salmonella enterica;100.0%	53	2849	3.41	SAL_KA9497AA_AS
